"loyalty_number","total_months","total_years","total_flights","distance","points_accumulated","points_redeemed","dollar_cost_points_redeemed","country","province","city","postal_code","gender","education","salary","marital_status","loyalty_card","clv","enrollment_type","enrollment_year","enrollment_month","cancellation_year","cancellation_month","churned"
"220601",24,2,0,0,0,0,0,"Canada","Manitoba","Winnipeg","R3R3T4","Female","Bachelor",92301,"Single","Star",4692.05,"Standard",2013,7,2013,11,1
"220616",24,2,58,83753,83753,1763,318,"Canada","Ontario","Toronto","M8Y4K8","Female","Bachelor",63359,"Married","Nova",3483.63,"Standard",2016,5,0,0,0
"220794",24,2,39,60376,60376,1417,255,"Canada","Manitoba","Winnipeg","R2C0M5","Male","Bachelor",50254,"Married","Aurora",13248.64,"Standard",2015,7,0,0,0
"220802",24,2,25,36512,36512,1497,270,"Canada","Quebec","Montreal","H2T9K8","Female","College",73455,"Single","Star",6861.28,"Standard",2013,10,0,0,0
"220806",24,2,41,52012,52012,1010,181,"Canada","Quebec","Montreal","H2Y4R4","Female","College",73455,"Single","Nova",3823.85,"Standard",2015,1,0,0,0
"220808",11,1,69,132850,199275,692,125,"Canada","British Columbia","Vancouver","V5R1W3","Female","Bachelor",62932,"Divorced","Star",4358.76,"2018 Promotion",2018,2,0,0,0
"220822",24,2,49,77038,77038,1201,216,"Canada","Ontario","Trenton","K8V4B2","Male","College",75720,"Married","Nova",21423.64,"Standard",2013,3,0,0,0
"220892",24,2,32,42201,42201,961,173,"Canada","Ontario","Toronto","M8Y4K8","Female","Bachelor",79023,"Single","Nova",16172.94,"Standard",2016,5,0,0,0
"221014",24,2,3,6000,6000,0,0,"Canada","Manitoba","Winnipeg","R6Y4T5","Male","Bachelor",100214,"Married","Aurora",5266.42,"Standard",2018,8,0,0,0
"221075",24,2,28,45468,45468,0,0,"Canada","Alberta","Banff","T4V1D4","Female","Bachelor",65206,"Single","Nova",7713.49,"Standard",2015,1,0,0,0
"221204",24,2,39,62985,62985,375,68,"Canada","Manitoba","Winnipeg","R2C0M5","Male","Doctor",269847,"Married","Star",6969.88,"Standard",2013,10,0,0,0
"221205",24,2,44,70395,70395,393,71,"Canada","Manitoba","Winnipeg","R6Y4T5","Female","Bachelor",59188,"Married","Star",25169.19,"Standard",2016,1,0,0,0
"221254",24,2,33,50773,50773,2119,382,"Canada","British Columbia","Vancouver","V1E4R6","Male","Bachelor",74964,"Married","Nova",4362.93,"Standard",2015,4,2018,4,1
"221287",24,2,29,41107,41107,388,70,"Canada","British Columbia","Vancouver","V5R1W3","Female","Bachelor",47291,"Single","Aurora",6277.84,"Standard",2016,5,0,0,0
"221328",24,2,32,48967,48967,495,89,"Canada","Ontario","Ottawa","K1F2R2","Male","Bachelor",86738,"Divorced","Star",3571.83,"Standard",2013,5,0,0,0
"221345",24,2,32,34589,34589,0,0,"Canada","Quebec","Montreal","H2Y4R4","Male","Bachelor",46905,"Married","Star",7785.67,"Standard",2015,7,0,0,0
"221361",24,2,0,0,0,0,0,"Canada","Quebec","Montreal","H2Y2W2","Male","High School or Below",42867,"Married","Aurora",13118.74,"Standard",2013,7,2016,9,1
"221388",24,2,36,53419,53419,441,79,"Canada","Ontario","Sudbury","M5V1G5","Male","College",73317,"Married","Star",4531.37,"Standard",2013,7,0,0,0
"221446",24,2,37,68716,68716,0,0,"Canada","Ontario","Toronto","M8Y4K8","Female","Bachelor",63965,"Married","Nova",9429.63,"Standard",2013,9,0,0,0
"221469",24,2,42,50165,50165,975,176,"Canada","Quebec","Hull","J8Y3Z5","Male","Bachelor",70482,"Married","Nova",8679.84,"Standard",2013,9,0,0,0
"221595",24,2,3,3954,3954,0,0,"Canada","Ontario","Toronto","M8Y4K8","Female","Bachelor",56883,"Divorced","Nova",8834.32,"Standard",2018,6,0,0,0
"221627",24,2,0,0,0,0,0,"Canada","Ontario","Toronto","P5S6R4","Female","Bachelor",88626,"Divorced","Nova",8370.4,"Standard",2015,9,2016,5,1
"221643",24,2,41,44906,44906,1316,236,"Canada","Ontario","Thunder Bay","K8T5M5","Female","Bachelor",61504,"Married","Star",8314.31,"Standard",2013,5,0,0,0
"221709",11,1,0,0,0,0,0,"Canada","Ontario","Thunder Bay","K8T5M5","Female","Bachelor",54009,"Single","Aurora",15245.25,"2018 Promotion",2018,3,0,0,0
"221721",24,2,31,40944,40944,956,172,"Canada","Ontario","Toronto","P5S6R4","Male","Bachelor",58025,"Divorced","Nova",12265.6,"Standard",2012,5,0,0,0
"221775",24,2,39,49938,49938,0,0,"Canada","Ontario","Toronto","P5S6R4","Male","College",73008,"Married","Aurora",11293.98,"Standard",2014,8,0,0,0
"221813",11,1,39,70626,105939,0,0,"Canada","British Columbia","West Vancouver","V6V8Z3","Male","Bachelor",84747,"Married","Nova",2906.3,"2018 Promotion",2018,3,0,0,0
"221862",24,2,52,78438,78438,1651,298,"Canada","British Columbia","Vancouver","V6E3D9","Female","Bachelor",63348,"Married","Star",2732.61,"Standard",2016,12,0,0,0
"221993",24,2,22,32201,32201,396,71,"Canada","Alberta","Calgary","T3E2V9","Female","Bachelor",83570,"Married","Star",9416.91,"Standard",2017,7,0,0,0
"222050",11,1,56,35696,53544,851,153,"Canada","British Columbia","Whistler","V6T1Y8","Female","Master",122233,"Single","Nova",4650.06,"2018 Promotion",2018,4,0,0,0
"222065",24,2,45,62819,62819,423,76,"Canada","New Brunswick","Moncton","E1A2A7","Male","Doctor",85511,"Married","Nova",8079.83,"Standard",2013,6,0,0,0
"222102",24,2,59,83589,83589,946,170,"Canada","Quebec","Quebec City","G1B3L5","Male","Bachelor",73236,"Married","Aurora",10330.44,"Standard",2012,10,0,0,0
"222278",24,2,22,38881,38881,1527,275,"Canada","Alberta","Calgary","T3E2V9","Female","Bachelor",46831,"Married","Star",6047.03,"Standard",2012,5,0,0,0
"222280",11,1,37,74701,112051.5,349,63,"Canada","Quebec","Montreal","H2Y4R4","Female","College",73455,"Divorced","Aurora",6466.3,"2018 Promotion",2018,4,0,0,0
"222425",24,2,0,0,0,0,0,"Canada","British Columbia","Vancouver","V6E3Z3","Female","Bachelor",56648,"Married","Nova",7221.15,"Standard",2015,11,2016,7,1
"222453",24,2,41,72945,72945,599,108,"Canada","British Columbia","Vancouver","V6E3D9","Female","Bachelor",70485,"Married","Aurora",5438.7,"Standard",2016,3,0,0,0
"222490",24,2,29,46890,46890,1456,262,"Canada","Quebec","Montreal","H3T8L4","Female","Bachelor",62800,"Divorced","Nova",20314.44,"Standard",2015,8,0,0,0
"222644",11,1,0,0,0,0,0,"Canada","Quebec","Montreal","H2Y2W2","Male","Bachelor",80002,"Married","Aurora",10861.52,"2018 Promotion",2018,3,0,0,0
"222702",24,2,9,15516,15516,0,0,"Canada","Ontario","Thunder Bay","K8T5M5","Female","College",73995,"Single","Star",6556.1,"Standard",2016,11,2017,10,1
"222743",24,2,32,45459,45459,516,93,"Canada","Ontario","Toronto","P2T6G3","Male","Master",126075,"Divorced","Star",22647.22,"Standard",2012,12,0,0,0
"222748",24,2,46,73263,73263,368,66,"Canada","Saskatchewan","Regina","S1J3C5","Male","Bachelor",56384,"Married","Star",2674.23,"Standard",2014,5,0,0,0
"222874",24,2,32,54227,54227,2440,440,"Canada","British Columbia","Dawson Creek","U5I4F1","Female","Doctor",250253,"Divorced","Nova",8509.85,"Standard",2014,9,0,0,0
"222929",24,2,38,64773,64773,550,99,"Canada","British Columbia","Vancouver","V6E3Z3","Male","Bachelor",67377,"Single","Star",2444.9,"Standard",2015,7,0,0,0
"222960",24,2,37,46264,46264,0,0,"Canada","Quebec","Montreal","H2T9K8","Female","Bachelor",91792,"Married","Aurora",5207.99,"Standard",2015,7,0,0,0
"223018",24,2,3,4152,4152,0,0,"Canada","Quebec","Hull","J8Y3Z5","Male","Bachelor",97030,"Divorced","Star",5757.44,"Standard",2018,11,0,0,0
"223081",24,2,0,0,0,0,0,"Canada","Quebec","Tremblant","H5Y2S9","Male","Bachelor",54301,"Divorced","Aurora",9915.9,"Standard",2013,8,2016,3,1
"223238",24,2,0,0,0,0,0,"Canada","Alberta","Banff","T4V1D4","Female","Bachelor",69822,"Single","Nova",3517.39,"Standard",2014,7,2014,10,1
"223313",24,2,18,29623,29623,0,0,"Canada","British Columbia","Vancouver","V6E3Z3","Female","College",73544,"Single","Aurora",9015.92,"Standard",2017,12,0,0,0
"223354",24,2,38,53305,53305,557,100,"Canada","Ontario","Toronto","M2Z4K1","Male","Bachelor",81110,"Married","Aurora",5405.52,"Standard",2016,1,0,0,0
"223380",24,2,2,4670,4670,0,0,"Canada","Quebec","Montreal","H2T9K8","Male","College",73455,"Single","Aurora",7700.62,"Standard",2018,11,0,0,0
"223534",24,2,51,66143,66143,420,76,"Canada","Quebec","Hull","J8Y3Z5","Male","Bachelor",59377,"Married","Star",13094.2,"Standard",2013,7,0,0,0
"223587",24,2,28,45681,45681,554,100,"Canada","British Columbia","Vancouver","V6E3Z3","Female","Bachelor",100167,"Married","Star",4013.96,"Standard",2017,8,0,0,0
"223632",24,2,46,58670,58670,1061,191,"Canada","Ontario","Toronto","P5S6R4","Female","Bachelor",52704,"Married","Nova",7891.58,"Standard",2013,10,0,0,0
"223638",24,2,0,0,0,0,0,"Canada","Alberta","Edmonton","T3G6Y6","Female","Bachelor",55360,"Married","Aurora",7724.84,"Standard",2018,12,0,0,0
"223643",24,2,10,9259,9259,1075,193,"Canada","Newfoundland","St. John's","A1C6H9","Male","College",73313,"Single","Nova",5553.36,"Standard",2018,7,0,0,0
"223684",24,2,2,4014,4014,0,0,"Canada","Ontario","Toronto","P1J8T7","Male","Bachelor",74964,"Married","Star",4362.93,"Standard",2018,7,0,0,0
"223946",24,2,43,56951,56951,434,78,"Canada","Quebec","Tremblant","H5Y2S9","Female","Bachelor",91978,"Divorced","Aurora",4942.87,"Standard",2015,7,0,0,0
"223958",24,2,31,56663,56663,0,0,"Canada","Ontario","Toronto","M2M7K8","Male","Bachelor",78993,"Married","Star",3435.25,"Standard",2017,5,0,0,0
"224000",24,2,37,53154,53154,1016,183,"Canada","Ontario","Toronto","P1J8T7","Female","Bachelor",61899,"Divorced","Nova",2938.08,"Standard",2016,2,0,0,0
"224130",24,2,51,74581,74581,786,142,"Canada","Manitoba","Winnipeg","R2C0M5","Female","Bachelor",74028,"Divorced","Star",2592.93,"Standard",2012,7,0,0,0
"224132",24,2,0,0,0,0,0,"Canada","British Columbia","Vancouver","V6E3Z3","Male","Bachelor",59331,"Married","Nova",4171.19,"Standard",2015,11,2016,7,1
"224178",24,2,0,0,0,0,0,"Canada","Ontario","Ottawa","K1F2R2","Male","College",73265.5,"Married","Aurora",32777.3,"Standard",2012,11,0,0,0
"224298",24,2,26,39478,39478,1069,193,"Canada","Ontario","Ottawa","K1F2R2","Male","Doctor",101609,"Single","Star",2398.35,"Standard",2016,11,0,0,0
"224384",24,2,43,52699,52699,1847,333,"Canada","Ontario","Toronto","M2M7K8","Female","Bachelor",97789,"Married","Star",4528.74,"Standard",2013,4,0,0,0
"224402",24,2,33,51766,51766,0,0,"Canada","Ontario","Kingston","M9K2P4","Male","Bachelor",63634,"Married","Star",4878.95,"Standard",2016,10,0,0,0
"224530",24,2,0,0,0,0,0,"Canada","Quebec","Montreal","H2Y2W2","Female","Bachelor",61275,"Married","Star",3208.92,"Standard",2018,12,0,0,0
"224607",24,2,3,6006,6006,0,0,"Canada","Ontario","Toronto","M2M7K8","Female","Bachelor",55360,"Married","Aurora",7724.84,"Standard",2018,11,0,0,0
"224661",24,2,70,113928,113928,535,96,"Canada","Quebec","Montreal","H2Y2W2","Male","College",73455,"Single","Aurora",7444.94,"Standard",2015,11,0,0,0
"224664",24,2,48,74083,74083,958,172,"Canada","Quebec","Montreal","H4G3T4","Female","Bachelor",94534,"Married","Nova",3113.34,"Standard",2013,9,0,0,0
"224666",24,2,17,22118,22118,0,0,"Canada","New Brunswick","Fredericton","E3B2H2","Male","Bachelor",75238,"Married","Star",5061.18,"Standard",2017,10,0,0,0
"224676",24,2,0,0,0,0,0,"Canada","Ontario","Toronto","P1J8T7","Female","Bachelor",58936,"Married","Aurora",5682.52,"Standard",2012,8,0,0,0
"224691",24,2,30,47456,47456,0,0,"Canada","Ontario","Toronto","P1J8T7","Female","College",73008,"Single","Aurora",7343.35,"Standard",2016,5,0,0,0
"224740",24,2,62,71854,71854,3227,581,"Canada","Quebec","Montreal","H2T9K8","Male","Bachelor",103005,"Married","Nova",3459.04,"Standard",2012,9,0,0,0
"224842",24,2,13,17536,17536,0,0,"Canada","British Columbia","Whistler","V6T1Y8","Female","College",73082,"Married","Star",8923.11,"Standard",2018,5,0,0,0
"224854",24,2,32,44945,44945,323,58,"Canada","Yukon","Whitehorse","Y2K6R0","Female","Bachelor",89435,"Divorced","Star",2619.34,"Standard",2017,9,0,0,0
"224924",24,2,38,62536,62536,0,0,"Canada","British Columbia","Whistler","V6T1Y8","Male","College",73082,"Married","Nova",3615.89,"Standard",2013,5,0,0,0
"224952",24,2,48,74695,74695,732,132,"Canada","Ontario","Trenton","K8V4B2","Male","Master",102894,"Single","Star",4200.82,"Standard",2013,9,0,0,0
"225067",24,2,32,39952,39952,780,141,"Canada","Ontario","Toronto","M2P4F6","Male","College",73008,"Married","Star",2298.38,"Standard",2014,3,0,0,0
"225077",24,2,35,50362,50362,974,175,"Canada","Saskatchewan","Regina","S6J3G0","Female","Master",123828,"Married","Star",4636.55,"Standard",2012,10,0,0,0
"225087",24,2,53,69380,69380,0,0,"Canada","Ontario","Toronto","M2Z4K1","Female","Bachelor",102791,"Single","Nova",8029.39,"Standard",2012,9,0,0,0
"225088",24,2,32,48849,48849,0,0,"Canada","British Columbia","Vancouver","V5R1W3","Male","Bachelor",97991,"Married","Star",4170.34,"Standard",2015,9,0,0,0
"225205",24,2,10,14625,14625,799,144,"Canada","British Columbia","Vancouver","V5R1W3","Female","Bachelor",72656,"Divorced","Star",10963.96,"Standard",2018,5,0,0,0
"225262",24,2,53,85108,85108,0,0,"Canada","Ontario","Kingston","M9K2P4","Male","High School or Below",58114,"Married","Star",6991.25,"Standard",2016,7,0,0,0
"225279",11,1,70,119991,179986.5,372,67,"Canada","Ontario","Kingston","M9K2P4","Male","Bachelor",67271,"Married","Star",2690.78,"2018 Promotion",2018,2,0,0,0
"225318",24,2,40,61273,61273,486,87,"Canada","British Columbia","Vancouver","V1E4R6","Male","College",73544,"Married","Nova",2739.06,"Standard",2012,11,0,0,0
"225327",24,2,32,47942,47942,0,0,"Canada","Ontario","Toronto","P2T6G3","Male","Bachelor",84015,"Married","Nova",25807.06,"Standard",2015,8,0,0,0
"225363",24,2,37,49546,49546,1297,233,"Canada","Alberta","Banff","T4V1D4","Female","Doctor",121570,"Divorced","Aurora",15363.85,"Standard",2015,7,0,0,0
"225482",24,2,31,53389,53389,486,87,"Canada","Quebec","Montreal","H2T2J6","Female","Bachelor",103522,"Married","Aurora",5577.54,"Standard",2013,4,0,0,0
"225486",24,2,44,66846,66846,988,178,"Canada","Quebec","Tremblant","H5Y2S9","Male","Bachelor",63271,"Married","Aurora",23435.73,"Standard",2013,10,0,0,0
"225529",24,2,0,0,0,0,0,"Canada","Quebec","Quebec City","G1B3L5","Female","High School or Below",43743,"Married","Nova",8161.17,"Standard",2013,9,2014,9,1
"225576",11,1,30,48758,73137,0,0,"Canada","Ontario","Sudbury","M5V1G5","Male","Bachelor",57411,"Married","Aurora",11378.89,"2018 Promotion",2018,3,0,0,0
"225656",24,2,3,4351,4351,0,0,"Canada","Ontario","Toronto","P1J8T7","Female","College",73008,"Divorced","Nova",5018.73,"Standard",2018,10,0,0,0
"225743",24,2,0,0,0,0,0,"Canada","Ontario","Toronto","M8Y4K8","Male","Bachelor",63709,"Married","Star",5165.81,"Standard",2015,10,2016,6,1
"225746",24,2,45,57488,57488,379,68,"Canada","Quebec","Montreal","H2T9K8","Female","Bachelor",78464,"Married","Aurora",41143.09,"Standard",2013,12,0,0,0
"225748",24,2,0,0,0,0,0,"Canada","Quebec","Montreal","H2T2J6","Female","College",73455,"Married","Star",5907.15,"Standard",2015,12,2016,8,1
"225891",24,2,41,58927,58927,1963,354,"Canada","Ontario","Toronto","P1J8T7","Female","Bachelor",79325,"Married","Star",7582.11,"Standard",2016,11,0,0,0
"225920",24,2,28,37506,37506,552,99,"Canada","British Columbia","Whistler","V6T1Y8","Female","Bachelor",82078,"Married","Aurora",10425.99,"Standard",2016,6,0,0,0
"225930",11,1,28,50359,75538.5,615,111,"Canada","Ontario","Kingston","M9K2P4","Female","College",72819,"Single","Nova",2848.56,"2018 Promotion",2018,2,0,0,0
"225972",24,2,16,30240,30240,826,149,"Canada","Ontario","Toronto","M1R4K3","Female","Bachelor",99838,"Married","Star",2443.67,"Standard",2017,7,0,0,0
"226176",24,2,0,0,0,0,0,"Canada","Alberta","Calgary","T3E2V9","Female","College",74917,"Single","Aurora",5121.56,"Standard",2015,8,2016,4,1
"226191",24,2,43,63083,63083,1265,228,"Canada","British Columbia","Vancouver","V1E4R6","Male","Bachelor",92875,"Married","Aurora",5811.92,"Standard",2017,3,0,0,0
"226194",24,2,39,59188,59188,553,100,"Canada","Ontario","Toronto","P1J8T7","Male","Bachelor",95571,"Married","Nova",26576.32,"Standard",2015,1,0,0,0
"226360",24,2,41,56344,56344,1370,246,"Canada","Ontario","Toronto","M2M7K8","Male","Bachelor",53068,"Single","Nova",13350.12,"Standard",2012,12,0,0,0
"226387",24,2,14,22256,22256,0,0,"Canada","Ontario","Kingston","M9K2P4","Female","Bachelor",77990,"Single","Nova",4482.02,"Standard",2017,6,2018,2,1
"226422",24,2,54,82356,82356,591,106,"Canada","British Columbia","Vancouver","V6E3D9","Male","Bachelor",90071,"Divorced","Nova",4626.8,"Standard",2014,1,0,0,0
"226511",24,2,28,43861,43861,1317,237,"Canada","British Columbia","Victoria","V106T5","Female","College",72896,"Single","Star",4653.09,"Standard",2013,9,0,0,0
"226643",24,2,21,29008,29008,434,78,"Canada","Ontario","Trenton","K8V4B2","Male","Bachelor",60350,"Divorced","Star",2877.81,"Standard",2017,5,0,0,0
"226710",24,2,33,50698,50698,1463,263,"Canada","Ontario","Kingston","M9K2P4","Male","Bachelor",87252,"Married","Nova",13333.39,"Standard",2014,6,0,0,0
"226804",24,2,1,1363,1363,552,99,"Canada","Quebec","Montreal","H2T9K8","Female","Doctor",236612,"Divorced","Aurora",8160.59,"Standard",2018,10,0,0,0
"226842",24,2,50,80115,80115,1424,257,"Canada","Quebec","Quebec City","G1B3L5","Female","Bachelor",73823,"Single","Nova",4080.82,"Standard",2016,8,0,0,0
"226847",24,2,0,0,0,0,0,"Canada","British Columbia","Victoria","V106T5","Female","Bachelor",85643,"Married","Nova",5525.84,"Standard",2012,11,0,0,0
"226866",24,2,23,37146,37146,463,83,"Canada","Nova Scotia","Halifax","B3C2M8","Male","Bachelor",101498,"Married","Nova",8223.16,"Standard",2017,6,0,0,0
"226924",11,1,47,70730,106095,0,0,"Canada","New Brunswick","Moncton","E1A2A7","Male","Bachelor",76573,"Married","Star",6269.59,"2018 Promotion",2018,4,0,0,0
"227008",24,2,38,55131,55131,2219,399,"Canada","Ontario","Thunder Bay","K8T5M5","Male","College",73995,"Single","Star",4665.25,"Standard",2013,8,0,0,0
"227015",24,2,32,47297,47297,449,81,"Canada","Ontario","Thunder Bay","K8T5M5","Female","Bachelor",48994,"Married","Star",4341.36,"Standard",2012,11,0,0,0
"227234",24,2,19,24307,24307,1191,214,"Canada","Quebec","Tremblant","H5Y2S9","Male","Bachelor",89266,"Married","Nova",5924.67,"Standard",2017,5,0,0,0
"227239",24,2,33,48061,48061,1460,263,"Canada","Ontario","Toronto","M2Z4K1","Male","Bachelor",47515,"Divorced","Nova",12208.12,"Standard",2017,2,0,0,0
"227274",24,2,6,10160,10160,0,0,"Canada","British Columbia","Vancouver","V5R1W3","Female","Bachelor",91163,"Divorced","Star",6622.05,"Standard",2018,6,0,0,0
"227293",24,2,38,59386,59386,1394,251,"Canada","British Columbia","Vancouver","V1E4R6","Female","Bachelor",74727,"Married","Aurora",10899.3,"Standard",2013,1,0,0,0
"227303",24,2,11,15711,15711,1144,206,"Canada","Ontario","Trenton","K8V4B2","Male","Bachelor",86815,"Married","Star",13530.03,"Standard",2018,6,2018,11,1
"227398",24,2,7,12464,12464,0,0,"Canada","Ontario","Toronto","M2M7K8","Male","Bachelor",52220,"Married","Aurora",16464.37,"Standard",2018,5,0,0,0
"227429",24,2,61,86951,86951,803,144,"Canada","Ontario","Toronto","P5S6R4","Male","Bachelor",95907,"Married","Star",2436.01,"Standard",2013,9,0,0,0
"227433",24,2,0,0,0,0,0,"Canada","Manitoba","Winnipeg","R3R3T4","Male","College",72907,"Single","Nova",8329.04,"Standard",2014,11,2016,3,1
"227547",24,2,49,64767,64767,2746,495,"Canada","Quebec","Montreal","H2T2J6","Female","Bachelor",47084,"Single","Nova",11177.75,"Standard",2016,12,0,0,0
"227796",24,2,43,75339,75339,1976,355,"Canada","Quebec","Quebec City","G1B3L5","Female","Bachelor",86414,"Married","Nova",10014.03,"Standard",2014,3,0,0,0
"227804",24,2,23,36846,36846,2064,372,"Canada","British Columbia","Vancouver","V6E3Z3","Male","Bachelor",103413,"Married","Star",2721.59,"Standard",2017,5,0,0,0
"227808",11,1,59,82924,124386,585,105,"Canada","British Columbia","Vancouver","V6E3D9","Male","Bachelor",82910,"Divorced","Star",7109.3,"2018 Promotion",2018,3,0,0,0
"227906",24,2,28,53626,53626,774,139,"Canada","Ontario","Toronto","M2M7K8","Female","Bachelor",94891,"Married","Aurora",5500.01,"Standard",2015,7,0,0,0
"228030",24,2,12,14248,14248,0,0,"Canada","British Columbia","Vancouver","V6E3D9","Male","Bachelor",50174,"Married","Aurora",58753.88,"Standard",2018,5,0,0,0
"228151",24,2,30,49417,49417,1159,208,"Canada","British Columbia","Whistler","V6T1Y8","Male","College",73082,"Married","Star",5504.14,"Standard",2014,8,0,0,0
"228273",24,2,50,57748,57748,2883,519,"Canada","Ontario","Toronto","M1R4K3","Male","Bachelor",47620,"Married","Nova",8668.61,"Standard",2016,1,0,0,0
"228469",24,2,0,0,0,0,0,"Canada","Nova Scotia","Halifax","B3J9S2","Male","Bachelor",63605,"Married","Nova",5261.1,"Standard",2015,5,2016,1,1
"228557",24,2,14,14920,14920,0,0,"Canada","British Columbia","Vancouver","V5R1W3","Male","Bachelor",57633,"Married","Aurora",15025.19,"Standard",2018,6,0,0,0
"228580",24,2,34,42744,42744,2307,415,"Canada","Ontario","Toronto","M8Y4K8","Male","Bachelor",54643,"Single","Star",4305.79,"Standard",2012,5,0,0,0
"228673",24,2,42,46085,46085,344,62,"Canada","Manitoba","Winnipeg","R6Y4T5","Male","Bachelor",96337,"Single","Nova",7341.74,"Standard",2012,9,0,0,0
"228748",24,2,49,64949,64949,0,0,"Canada","Ontario","Toronto","M1R4K3","Male","College",73008,"Single","Star",2050.62,"Standard",2015,12,0,0,0
"228772",24,2,7,8310,8310,0,0,"Canada","Ontario","Toronto","P1W1K4","Female","Bachelor",85128,"Married","Star",2584.53,"Standard",2013,7,2017,6,1
"228820",24,2,18,28965,28965,0,0,"Canada","Saskatchewan","Regina","S1J3C5","Female","Bachelor",81085,"Divorced","Star",7159.81,"Standard",2017,11,0,0,0
"228896",24,2,24,32161,32161,546,98,"Canada","Quebec","Quebec City","G1B3L5","Female","Bachelor",91156,"Married","Nova",17441.64,"Standard",2013,8,0,0,0
"228984",24,2,31,48466,48466,1509,271,"Canada","British Columbia","Kelowna","V092E9","Male","Bachelor",57254,"Married","Star",4530.53,"Standard",2015,11,0,0,0
"228995",24,2,39,56737,56737,2321,418,"Canada","Ontario","Toronto","M8Y4K8","Male","College",73008,"Single","Nova",12767.23,"Standard",2014,9,0,0,0
"229075",24,2,0,0,0,0,0,"Canada","British Columbia","Vancouver","V5R1W3","Male","Bachelor",48726,"Married","Nova",3065.37,"Standard",2018,12,0,0,0
"229094",24,2,29,52996,52996,744,134,"Canada","Ontario","Toronto","M2M7K8","Female","Bachelor",77841,"Married","Aurora",5887.18,"Standard",2014,2,0,0,0
"229166",24,2,54,84176,84176,3213,579,"Canada","Ontario","Trenton","K8V4B2","Female","Bachelor",54042,"Married","Star",7366.09,"Standard",2014,9,0,0,0
"229204",24,2,8,11772,11772,686,123,"Canada","British Columbia","Vancouver","V6E3Z3","Female","College",73544,"Married","Star",4652.89,"Standard",2018,8,0,0,0
"229210",24,2,37,47295,47295,1568,282,"Canada","Quebec","Tremblant","H5Y2S9","Female","Bachelor",51923,"Married","Nova",6775.92,"Standard",2014,2,0,0,0
"229265",24,2,29,45554,45554,900,162,"Canada","Ontario","Toronto","M2P4F6","Female","Bachelor",67827,"Divorced","Aurora",13107.93,"Standard",2012,12,0,0,0
"229308",24,2,0,0,0,0,0,"Canada","Quebec","Tremblant","H5Y2S9","Male","Bachelor",52275,"Divorced","Nova",6376.75,"Standard",2016,9,2016,12,1
"229391",24,2,4,4000,4000,0,0,"Canada","Saskatchewan","Regina","S6J3G0","Female","Bachelor",73051,"Single","Star",2520.3,"Standard",2018,11,0,0,0
"229436",24,2,29,33100,33100,642,116,"Canada","Ontario","Sudbury","M5V1G5","Female","College",73317,"Single","Aurora",7452.94,"Standard",2017,1,0,0,0
"229530",24,2,50,77667,77667,1092,196,"Canada","Prince Edward Island","Charlottetown","C1A6E8","Female","Bachelor",98637,"Married","Star",14886.71,"Standard",2012,10,0,0,0
"229612",24,2,39,56862,56862,2490,449,"Canada","Ontario","Ottawa","K1F2R2","Female","Bachelor",81366,"Married","Star",3087.43,"Standard",2012,8,0,0,0
"229621",24,2,39,49845,49845,446,80,"Canada","Newfoundland","St. John's","A1C6H9","Female","Bachelor",70678,"Married","Nova",5554.83,"Standard",2017,4,0,0,0
"229636",24,2,0,0,0,0,0,"Canada","Quebec","Tremblant","H5Y2S9","Male","Bachelor",82147,"Single","Aurora",6019.93,"Standard",2012,12,0,0,0
"229677",24,2,43,70404,70404,1492,268,"Canada","British Columbia","Vancouver","V6E3Z3","Female","Bachelor",75952,"Married","Star",17816.68,"Standard",2016,5,0,0,0
"229692",24,2,23,25625,25625,0,0,"Canada","Ontario","London","M5B3E4","Female","College",73328,"Single","Star",4574,"Standard",2017,12,2018,8,1
"229842",24,2,58,84062,84062,1194,214,"Canada","Prince Edward Island","Charlottetown","C1A6E8","Female","High School or Below",43592,"Divorced","Star",7453,"Standard",2013,10,0,0,0
"229861",24,2,0,0,0,0,0,"Canada","Manitoba","Winnipeg","R3R3T4","Female","Bachelor",83796,"Single","Star",2386.2,"Standard",2015,11,2016,7,1
"230027",24,2,45,66449,66449,2722,490,"Canada","Ontario","Toronto","P1J8T7","Male","Bachelor",69111,"Single","Star",6332.94,"Standard",2016,1,0,0,0
"230070",24,2,5,6398,6398,0,0,"Canada","Quebec","Hull","J8Y3Z5","Male","Master",75891,"Divorced","Star",10083.49,"Standard",2017,11,2018,7,1
"230101",24,2,36,43356,43356,458,82,"Canada","Quebec","Hull","J8Y3Z5","Male","Bachelor",99796,"Married","Aurora",8146.27,"Standard",2015,9,0,0,0
"230124",24,2,3,3753,3753,0,0,"Canada","Quebec","Montreal","H2T2J6","Female","Bachelor",70267,"Single","Star",13916.93,"Standard",2018,11,0,0,0
"230240",24,2,48,63396,63396,1503,270,"Canada","New Brunswick","Moncton","E1A2A7","Female","Doctor",124154,"Divorced","Nova",5534.57,"Standard",2013,2,0,0,0
"230311",24,2,38,66250,66250,1226,220,"Canada","Ontario","Thunder Bay","K8T5M5","Female","Bachelor",54123,"Married","Star",4781.82,"Standard",2014,8,0,0,0
"230337",24,2,19,28662,28662,454,82,"Canada","Ontario","Toronto","P2T6G3","Male","College",73008,"Single","Nova",5885.34,"Standard",2017,12,0,0,0
